Image,LesionSize,Perimeter,Compactness,BoundingBox_Area,Orientation,Solidity,Centroid_X,Centroid_Y,Asymmetry,Mean_Intensity,Mean_RGB,Mean_HSV,Color_Std,Color_Entropy,Color_Variance
train_images_0.png,3432,294.2497807,2.084735528,6215,103.8640518,0.903869818,175,130,511.9999985,204.1611305,204.1611305,68.05371018,35.33929734,6.856628747,1248.865937
train_images_1.png,1331,182.7523068,2.118581645,2376,75.04403687,0.875130793,363,335,511.9999962,118.62284,118.62284,39.54094666,13.43545288,5.638826634,180.5113942
train_images_10.png,1532,195.8822497,2.115991755,2607,101.9907761,0.878004254,174,125,511.9999967,146.2467363,146.2467363,48.7489121,35.95314195,6.961721631,1292.628416
train_images_100.png,367,90.66904664,1.991465832,575,27.42747688,0.820224699,321,356,511.999986,105.6730245,105.6730245,35.22434151,6.481321505,4.536245861,42.00752845
train_images_1000.png,2871,334.3330406,3.762714437,4422,44.78179932,0.796630157,327,317,511.9999982,105.1779868,105.1779868,35.05932892,10.51131067,5.243868965,110.487652
train_images_1001.png,4197,305.0782073,1.822015039,7840,109.5019836,0.862507955,174,134,511.9999988,183.8241601,183.8241601,61.27472004,47.22974289,7.302997786,2230.648613
train_images_1002.png,1659,381.4457384,7.729365723,4060,54.16360855,0.64264264,380,337,511.9999969,105.013261,105.013261,35.00442033,10.5417368,5.156852002,111.1282147
train_images_1003.png,11608,363.9066344,1.804501451,10500,162.1418152,0.812578265,346,179,426.5637488,101.0926947,101.0926947,33.6975649,39.97239341,7.108224654,1597.792235
train_images_1004.png,161,32.14213526,1.227057112,110,76.37249756,0.943661839,133,320,511.9999682,114.6149068,114.6149068,38.20496894,12.35452597,5.141432701,152.6343119
train_images_1005.png,15885,524.7594466,3.156192631,18690,154.6272278,0.773334818,388,169,433.4514319,112.7808624,112.7808624,37.59362082,43.11053071,7.313317689,1858.517858
train_images_1006.png,1067,111.8406196,1.491207207,945,84.45083618,0.94213125,362,255,362.286782,16.43017807,16.43017807,5.476726023,6.243238011,4.377983755,38.97802087
train_images_1007.png,5692,372.4335458,3.474872386,9568,49.78214645,0.736835999,377,274,376.8938855,60.3601546,60.3601546,20.12005153,23.62306365,6.307765892,558.0491362
train_images_1008.png,721,144.6101712,2.515694889,1518,32.65146255,0.839466994,236,224,511.9999929,106.0152566,106.0152566,35.33841886,7.200211141,4.43481699,51.84304047
train_images_1009.png,5860,396.8183217,3.031119759,11058,37.56833649,0.708847735,385,261,351.4976103,53.79180887,53.79180887,17.93060296,21.80110217,6.190261633,475.2880558
train_images_101.png,2936,281.5218582,2.306409664,5610,127.3112488,0.77817302,137,263,349.6457754,51.46798365,51.46798365,17.15599455,15.88243368,5.848509041,252.2516997
train_images_1010.png,3540,371.0193328,4.812945659,5929,137.5330048,0.700954725,124,355,414.6621457,104.6971751,104.6971751,34.89905838,12.07099259,5.100131057,145.7088621
train_images_1011.png,3848,282.3502861,1.70287211,6160,101.4582901,0.947000506,174,132,511.9999987,192.5535343,192.5535343,64.18451143,44.69693212,7.121522852,1997.815741
train_images_1012.png,1883,118.5269114,1.221140744,1152,155.3610229,0.967247745,306,239,504.658521,98.96282528,98.96282528,32.98760843,32.50675323,6.798419551,1056.689006
