Image,LesionSize,Perimeter,Compactness,BoundingBox_Area,Orientation,Solidity,Centroid_X,Centroid_Y,Asymmetry,Mean_Intensity,MeanRGB,Mean_HSV,Color_Std,Color_Entropy,Color_Variance
cju13cgqmnhwn0988yrainhcp.jpg,41215,1070.638731,2.188010238,56462,19.81114388,0.975900653,350,397,368.3319179,146.5367706,143.7350398,116.9468155,23.13519183,6.16609525,535.6539857
cju13fwthn9mq0835gacxgy01.jpg,44465,1138.420477,2.301910522,65682,108.0746384,0.964324534,477,132,511.9999999,131.1160013,130.5592414,111.9410623,43.08805033,7.09445292,1876.30576
cju13hp5rnbjx0835bf0jowgx.jpg,34103,977.2417629,2.203854068,49922,138.5005798,0.972160356,105,210,411.4181156,117.961499,112.6571954,112.1716467,26.99053066,6.465837732,728.8470385
cju14g8o4xui30878gkgbrvqj.jpg,7891,545.2102373,2.933375231,11526,162.467865,0.941946033,492,213,507.3283481,137.523888,135.3382757,116.868331,20.11654536,6.034943537,407.5222143
cju14hjh2ob2o0835ouz3r5aa.jpg,40404,1145.266148,2.55283678,58968,44.91612625,0.925892796,480,372,490.8630827,89.81754282,88.62771013,109.8705079,51.10053754,7.594858114,2624.007392
cju14pxbaoksp0835qzorx6g6.jpg,22841,783.1757481,2.114450543,31008,70.31382751,0.976377286,248,83,447.711396,160.6402084,152.2338193,135.4873838,29.59780918,5.811945461,918.3648108
cju15czxqp3lv0835jvhgzurz.jpg,90640,1860.618522,3.018350207,159588,138.4032593,0.87656965,233,293,222.2686672,147.2506951,143.5955612,120.5199139,43.89876832,6.841712601,1968.987338
cju15jr8jz8sb0855ukmkswkz.jpg,96904,1672.912898,2.289720311,129000,154.2209167,0.976119987,377,162,311.27681,184.5106807,174.8307053,128.654672,42.00686361,5.374967256,1952.039293
cju15l5ubz9yh0855b3ivdpse.jpg,11184,571.9381595,2.263256619,17303,106.5003281,0.950812218,255,263,298.7353359,171.9237303,163.3434072,128.7587029,22.47909032,5.374945249,539.4780058
cju15mhjczc8z0801kit5c6di.jpg,44672,1158.479351,2.371358835,63726,39.75972366,0.95855016,465,158,502.7507162,176.4531026,169.9526027,123.586042,25.70545684,5.456407597,721.2540968
cju15ptjtppz40988odsm9azx.jpg,18551,811.6193985,2.763224656,30447,67.18708038,0.895320574,456,217,464.7495011,143.2356207,141.0950173,126.3284279,42.88589401,6.364650371,1857.572106
cju15wdt3zla10801odjiw7sy.jpg,52459,1140.479351,1.952167484,74851,36.61675644,0.978472895,439,395,499.0191958,147.9043253,145.453586,133.2126295,25.84320313,5.809421619,699.5609167
cju160wshltz10993i1gmqxbe.jpg,8060,498.2569209,2.412050527,11070,179.0176239,0.960030474,465,324,509.1414386,144.285732,139.3407361,129.317287,25.21914044,5.73115634,682.5889418
