Image,Lesion_Size,Perimeter,Compactness,BoundingBox_Area,Orientation,Solidity,Centroid_X,Centroid_Y,Asymmetry,Mean_Intensity,Mean_RGB,Mean_HSV,Color_Std,Color_Entropy,Color_Variance
cju13cgqmnhwn0988yrainhcp,41215,1070.6387310028076,2.188010238481318,56462,19.81114387512207,0.9759006528767291,350,397,368.33191790165426,146.5367705932306,143.73503983177645,116.94681547980105,23.135191827730978,6.16609524990059,535.6539857146703
cju13fwthn9mq0835gacxgy01,44465,1138.4204765558243,2.3019105224616854,65682,108.07463836669922,0.9643245335361598,477,132,511.9999998848532,131.11600134937592,130.55924135087523,111.94106225870534,43.08805032593782,7.094452919614788,1876.3057603516081
cju13hp5rnbjx0835bf0jowgx,34103,977.2417628765106,2.2038540680389134,49922,138.50057983398438,0.9721603560733668,105,210,411.41811558765556,117.9614989883588,112.65719535915707,112.17164667820036,26.990530658095665,6.4658377322736325,728.8470384645588
cju14g8o4xui30878gkgbrvqj,7891,545.2102372646332,2.9333752311930787,11526,162.46786499023438,0.9419460332415068,492,213,507.3283481088223,137.52388797364085,135.3382756727073,116.8683310100114,20.116545364880633,6.034943537149184,407.52221429643106
cju14hjh2ob2o0835ouz3r5aa,40404,1145.2661477327347,2.5528367801363268,58968,44.9161262512207,0.925892796275755,480,372,490.8630827415941,89.81754281754282,88.62771012771013,109.87050787050786,51.10053753806293,7.5948581135016235,2624.0073916982515
cju14pxbaoksp0835qzorx6g6,22841,783.1757481098175,2.1144505433702157,31008,70.31382751464844,0.9763772862529863,248,83,447.7113959775354,160.64020839718052,152.23381930154838,135.48738379814077,29.597809178092756,5.811945460832822,918.3648108285139
cju15czxqp3lv0835jvhgzurz,90640,1860.6185219287872,3.018350207145537,159588,138.40325927734375,0.8765696503789663,233,293,222.26866723055286,147.25069505736982,143.59556119446896,120.51991394527802,43.89876832254398,6.841712600760229,1968.9873381113032
cju15jr8jz8sb0855ukmkswkz,96904,1672.912898182869,2.2897203109762927,129000,154.22091674804688,0.9761199870563084,377,162,311.2768100066791,184.5106806736564,174.8307053028427,128.65467197776493,42.00686360655994,5.374967256161612,1952.0392929566622
cju15l5ubz9yh0855b3ivdpse,11184,571.9381594657898,2.263256618627002,17303,106.50032806396484,0.9508122176242614,255,263,298.7353359274541,171.9237303290415,163.34340724845018,128.75870290891748,22.479090320337168,5.374945249210585,539.478005768212
cju15mhjczc8z0801kit5c6di,44672,1158.4793506860733,2.371358834989431,63726,39.75972366333008,0.9585501599551872,465,158,502.7507162198355,176.4531026146132,169.95260267430754,123.58604196513848,25.70545684345552,5.456407596609532,721.2540967693252
cju15ptjtppz40988odsm9azx,18551,811.6193984746933,2.7632246560469027,30447,67.18708038330078,0.8953205744175753,456,217,464.74950112406367,143.23562072125492,141.09501733958635,126.3284279373978,42.88589401023205,6.364650371195505,1857.5721064061247
cju15wdt3zla10801odjiw7sy,52459,1140.4793511629105,1.9521674839538514,74851,36.616756439208984,0.9784728948597974,439,395,499.01919584837316,147.90432528260166,145.45358597507894,133.2126295456134,25.843203129056803,5.809421619241201,699.5609166736372
cju160wshltz10993i1gmqxbe,8060,498.25692093372345,2.4120505270692147,11070,179.0176239013672,0.9600304741721497,465,324,509.1414385742662,144.28573200992557,139.34073614557485,129.3172870140612,25.219140440206033,5.73115634039154,682.588941792019
cju16ach3m1da0993r1dq3sn2,84981,1620.6185216903687,2.4438034088630607,115596,136.36785888671875,0.9649878985444548,260,319,189.6992503983597,166.6502747673009,162.48795220892512,125.18433139956774,46.64901415993981,5.652626083508613,2306.4034973334333
cju16b6ynq8e40988m8vx0xnj,5249,356.5756810903549,1.9002675203044375,7480,49.869590759277344,0.9616218151316204,127,106,511.99999902457614,124.67689083634978,121.96450117482694,119.19540229885058,15.0876573579681,5.841258152356343,234.40555091927203
cju16d65tzw9d0799ouslsw25,11330,566.2985508441925,2.2229983913478724,15035,171.83041381835938,0.9701681729314898,293,287,351.7119149587715,147.5665489849956,143.34727861135627,115.20535451603412,18.179436328718282,5.45143394488278,340.3396791330818
cju16fpvhzypl0799p9phnlx6,34765,1160.6631163358688,3.03942118947577,55660,120.3017807006836,0.8772992398976955,370,314,293.3709189433709,136.34741838055515,133.65256244307014,128.4152548060789,21.9513950202158,6.185673281958348,483.80127200095467
cju16jgnyzp970878melv7r25,33313,1055.9940692186356,2.631712285010191,54675,129.63873291015625,0.9431228582775685,390,343,470.7409118149848,141.00888542010625,138.89651687529394,122.88276848877815,32.25803191956373,6.613813013396703,1041.7445622401815
cju16whaj0e7n0855q7b6cjkm,86243,2640.948597550392,6.3730412407961845,172536,58.23671340942383,0.7182805276260938,318,210,282.4391544493537,121.1490207900931,117.45827487448257,120.29325278573333,34.15773654104635,7.198484430803422,1225.8092606803996
cju171py4qiha0835u8sl59ds,117483,2007.311952471733,2.713645236691833,171790,134.6112823486328,0.9445239369663607,430,179,322.2318803297301,164.49314368887414,158.19475158107983,124.42280159682677,35.30644385633091,6.371561913529306,1258.5450879340951
