Image,Lesion_Area,Mean_Intensity,Shape_Complexity,Centroid_X,Centroid_Y
train_images_0.png,3432,204.16113053613054,0.47967715157412305,175,130
train_images_1.png,1331,118.6228399699474,0.4720139068105995,363,335
train_images_10.png,1532,146.2467362924282,0.4725916330963445,174,125
train_images_100.png,367,105.67302452316076,0.5021426831418423,321,356
train_images_1000.png,2871,105.17798676419366,0.26576558397184824,327,317
train_images_1001.png,4197,183.8241601143674,0.5488428901120633,174,134
train_images_1002.png,1659,105.01326100060277,0.12937672186631183,380,337
train_images_1003.png,11608,101.09269469331495,0.5541696846074627,346,179
train_images_1004.png,161,114.61490683229813,0.814957974491136,133,320
train_images_1005.png,15885,112.78086244885112,0.3168374420731171,388,169
train_images_1006.png,1067,16.430178069353328,0.6705976160093304,362,255
train_images_1007.png,5692,60.36015460295151,0.2877803523483045,377,274
train_images_1008.png,721,106.01525658807212,0.397504483805453,236,224
train_images_1009.png,5860,53.791808873720136,0.3299110821548878,385,261
train_images_101.png,2936,51.467983651226156,0.4335743191533308,137,263
train_images_1010.png,3540,104.69717514124294,0.20777296701898468,124,355
train_images_1011.png,3848,192.5535343035343,0.5872431605130063,174,132
train_images_1012.png,1883,98.96282527881041,0.8189064226770282,306,239
train_images_1013.png,9324,111.54139854139854,0.6055355844064251,368,173
train_images_1014.png,878,44.21753986332574,0.7089629617678915,155,282
train_images_1015.png,3854,67.71925272444214,0.43576688244043,191,286
train_images_1016.png,1323,50.552532123960695,0.4378970847519343,179,323
train_images_1017.png,931,100.09559613319011,0.48279202762931417,406,234
train_images_1018.png,1951,119.15838031778576,0.4319716787874869,399,363
train_images_1019.png,23180,104.45785159620362,0.29207154522068,371,186
train_images_102.png,1718,52.32770663562282,0.34788549929965434,179,322
train_images_1020.png,16026,24.80263322101585,0.45447007503827114,176,283
train_images_1021.png,584,74.20547945205479,0.3323225874589726,357,368
train_images_1022.png,529,100.27221172022685,0.31327862574914045,156,358
train_images_1023.png,6662,111.45181627138997,0.2933013376820719,369,170
train_images_1024.png,18,63.72222222222222,0.6504562784084383,194,256
train_images_1025.png,2165,53.659122401847576,0.3936176647456395,179,322
train_images_1026.png,1710,115.43216374269007,0.3680254486478959,408,229
train_images_1027.png,3741,63.42635658914729,0.5175330750051069,144,259
train_images_1028.png,3984,183.08107429718876,0.5272446159617858,175,133
train_images_1029.png,1186,50.23693086003372,0.5053657783173018,162,337
train_images_103.png,483,85.36438923395445,0.46146069796270717,374,245
train_images_1030.png,891,108.03703703703704,0.18119144587717578,361,363
train_images_1031.png,838,113.90572792362768,0.3710611457557955,205,331
train_images_1032.png,15957,107.79231685153852,0.46020727062108946,387,188
train_images_1033.png,609,100.89819376026273,0.1261728791335576,381,358
train_images_1034.png,20486,55.62896612320609,0.2879364372217116,372,264
train_images_1035.png,3410,51.79618768328446,0.5311886788018315,135,243
train_images_1036.png,5571,62.54065697361335,0.2117860228216995,382,266
train_images_1037.png,133,26.7593984962406,0.6036935470828804,407,154
train_images_1038.png,4360,27.53967889908257,0.4936549405498586,182,141
train_images_1039.png,74,32.87837837837838,0.8774443572714905,79,192
train_images_104.png,920,72.14347826086957,0.2409504539109811,203,291
train_images_1040.png,6951,57.039418788663504,0.4657789138803744,169,284
train_images_1041.png,4116,39.4142371234208,0.7504083949506509,375,152
train_images_1042.png,1157,102.95159896283492,0.4092589267902909,383,238
train_images_1043.png,533,98.89868667917449,0.09088798176953901,190,303
train_images_1044.png,28,103.57142857142857,0.5203574834961491,126,277
train_images_1045.png,489,125.91002044989776,0.5259000430592423,187,124
train_images_1046.png,6276,58.50685149776928,0.2964211061765581,147,273
train_images_1047.png,6293,104.95630065151757,0.28315480141016264,140,369
train_images_1048.png,1749,114.23156089193824,0.2795265815737591,361,358
train_images_1049.png,1357,31.392041267501842,0.5700796369393741,139,213
train_images_105.png,2786,61.46267049533381,0.5156964703637636,137,282
train_images_1050.png,2916,44.22770919067215,0.4025168861511098,174,323
train_images_1051.png,3979,193.847700427243,0.6545437183195915,173,135
