Image,Fetal_Head_Area,Fetal_Head_Intensity,Head_Roundness
train_images_0.png,32420,56.79984577,0.886967249
train_images_1.png,32237,39.17393058,0.867279895
train_images_10.png,39367,25.49404323,0.873841946
train_images_100.png,56613,25.0325367,0.847988415
train_images_1000.png,25764,51.03085701,0.870191428
train_images_1001.png,64328,38.68582888,0.875238
train_images_1002.png,63125,30.76031683,0.868737633
train_images_1003.png,33612,30.38435678,0.870394114
train_images_1004.png,29469,58.30051919,0.877857606
train_images_1005.png,75424,33.17021107,0.884557408
train_images_1006.png,44053,8.10323928,0.879514896
train_images_1007.png,38959,32.68235838,0.850716219
train_images_1008.png,40316,23.58907134,0.871270306
train_images_1009.png,37166,26.21616531,0.879184038
train_images_101.png,36922,27.25781377,0.877067675
train_images_1010.png,33664,41.61017704,0.871752925
train_images_1011.png,16588,46.33560405,0.884930674
train_images_1012.png,37674,79.28903222,0.87188092
train_images_1013.png,28174,23.53474835,0.867240046
train_images_1014.png,33399,86.81798856,0.860134925
train_images_1015.png,36197,22.90380418,0.846687658
train_images_1016.png,41906,52.13962201,0.87088603
train_images_1017.png,31004,39.13362792,0.867874661
train_images_1018.png,27671,26.8304362,0.868988669
train_images_1019.png,32894,78.8882471,0.853968583
train_images_102.png,26482,58.24782871,0.851644027
train_images_1020.png,22723,16.76217929,0.84494415
train_images_1021.png,62839,36.35616417,0.875168288
train_images_1022.png,37140,25.62902531,0.882588932
train_images_1023.png,32295,28.50877845,0.878588998
train_images_1024.png,28449,27.75890189,0.840390919
train_images_1025.png,26566,33.46390123,0.841512878
train_images_1026.png,22967,20.19523664,0.842346895
train_images_1027.png,24746,36.92378566,0.864889564
train_images_1028.png,41780,26.74119196,0.872449341
train_images_1029.png,37932,28.35255194,0.848690819
train_images_103.png,21729,31.58350591,0.849498242
train_images_1030.png,26396,40.49340809,0.868569553
train_images_1031.png,37561,26.36822768,0.879696631
train_images_1032.png,33811,33.38091154,0.877970129
